,region,core,lat,long,water_depth_m,temp_c,pH_total,DCO3_c,DCO3_a,B_umolkg,borate_bicarbonate_molmol,species,B_Ca_umolmol,reference,salinity,pH foram,pressure_bar,KspC,KspA,CO3sat_c,CO3sat_a,omega_c,omega_a,CO3_mmolkg,log(omega_c),omega_c_linpred,omega_c_logpred,lin_r_sq,log_r_sq,DCO3_c_linpred,lin_DCO3_r_sq
0,Norwegian,PS2647,68.78,21.06,1376,-0.772161,8.130487715832253,61.145027634034214,29.539161792819883,415.0562742857143,0.03343532243434524,Cibicidoides wuellerstorfi,239.86194626088425,Yu and Elderfield (2007),35.0,,138.1240762944,5.754381725379663e-07,9.006487934781547e-07,57.543817253796625,90.06487934781546,2.0625820557637753,1.3279764765880004,,0.7239586230480518,1.6817234603737288,1.716994486140025,0.701648866704037,0.7485018946413058,48.63160872076834,0.7722872286249991
1,Norwegian,23247-2,69.49,17.12,1375,-0.795071,8.121243722013206,58.870814943529666,27.267210032141506,415.05033142857144,0.032731720870041205,Cibicidoides wuellerstorfi,248.83006504767172,Yu and Elderfield (2007),35.0,,138.023695425,5.753571670650134e-07,9.005444808490352e-07,57.53571670650133,90.05444808490353,2.0232046859490582,1.302785821378128,,0.7046827324786162,1.7704905183609743,1.8435543591607897,0.701648866704037,0.7485018946413058,55.05635016571044,0.7722872286249991
2,Norwegian,23400,72.35,7.81,2630,-1.14911,8.086946273647124,43.4706643138081,5.91415232877452,414.7460571428572,0.033681592677134393,Cibicidoides wuellerstorfi,214.29504580786534,Yu and Elderfield (2007),35.0,,264.001686522,7.486425379187866e-07,1.15385025572509e-06,74.86425379187865,115.38502557250901,1.5806598224388344,1.0512558046369544,,0.457842369002951,1.4286605171831397,1.4018904686503124,0.701648866704037,0.7485018946413058,30.31553498619415,0.7722872286249991
3,Norwegian,23424,70.04,0.07,3247,-0.869125,8.05041523207011,29.42378802371624,-14.046394649363691,414.94336,0.03469169736917098,Cibicidoides wuellerstorfi,223.6121661279662,Yu and Elderfield (2007),35.0,,325.93668294180003,8.470073763125158e-07,1.295324840737323e-06,84.70073763125158,129.5324840737323,1.3473852630636347,0.8915608331778133,,0.2981658721709942,1.5208820164062558,1.5093957558517146,0.701648866704037,0.7485018946413058,36.99030039588685,0.7722872286249991
4,Norwegian,23240,68.16,-9.59,1851,-0.784229,8.087971646174411,48.6646474109856,14.331215316512711,414.9611885714286,0.032196786565136595,Cibicidoides wuellerstorfi,237.95687854247163,Yu and Elderfield (2007),35.0,,185.8049892594,6.358215540711542e-07,9.893149726936953e-07,63.582155407115415,98.93149726936953,1.7653821594972163,1.1448599860718962,,0.5683671879095754,1.6628669687671387,1.6912494466947678,0.701648866704037,0.7485018946413058,47.26682221237162,0.7722872286249991
5,Norwegian,1914-5,73.97,-7.68,1663,-1.08234,8.104532595952904,52.30834609715771,19.023020083738942,414.80429714285714,0.032296811995908996,Cibicidoides wuellerstorfi,241.8611801278831,Yu and Elderfield (2007),35.0,,166.93338581220002,6.120085729913239e-07,9.546348904176733e-07,61.200857299132394,95.46348904176733,1.854699564770627,1.199270111271713,,0.6177227232501269,1.7015120150105618,1.7444336298136571,0.701648866704037,0.7485018946413058,50.0638556600443,0.7722872286249991
6,Norwegian,HM03-133-05,64.33,-6.08,3299,-0.864016,8.044259960198929,27.660950549741386,-16.179912313119246,414.98496,0.034414949005158506,Cibicidoides wuellerstorfi,218.79376360351307,Yu and Elderfield (2007),35.0,,331.1564881506,8.558812343948469e-07,1.3080478408418122e-06,85.58812343948469,130.80478408418122,1.3231867861818367,0.8763048887974431,,0.28004305897823445,1.4731891360527793,1.4528075614900002,0.701648866704037,0.7485018946413058,33.538406957223216,0.7722872286249991
7,Norwegian,HM03-133-11,63.0,-6.08,1652,-0.839,8.118426258121554,56.71995036146795,23.540857092637054,414.9659428571428,0.03352613675725855,Cibicidoides wuellerstorfi,261.22973312984715,Yu and Elderfield (2007),35.0,,165.8291962488,6.100182478795319e-07,9.515409060826133e-07,61.00182478795319,95.15409060826133,1.929807437050132,1.2473972158438476,,0.6574202243899281,1.893223287834843,2.0340497670383835,0.701648866704037,0.7485018946413058,63.939446311631954,0.7722872286249991
8,Atlantic,NEAP 8K,59.44,22.12,2360,3.21866,8.013677087027187,47.29857027804489,11.002086111319556,415.47821714285715,0.032529359741867825,Cibicidoides wuellerstorfi,217.89611478986546,Yu and Elderfield (2007),35.0,,236.89885178400002,6.901117591926e-07,1.0639754436336409e-06,69.01117591926,106.39754436336408,1.6853755156031844,1.103405451480588,,0.5219883968999252,1.4643041462140372,1.4425022670312715,0.701648866704037,0.7485018946413058,32.89533323427683,0.7722872286249991
9,Atlantic,NEAP 16B,56.36533,27.81333,2848,2.7411,8.00187175386511,39.25987472437329,-0.1270844978774619,415.65769142857147,0.033022543394325,Cibicidoides wuellerstorfi,227.4288274461307,Yu and Elderfield (2007),35.0,,285.88471605120003,7.612961895748906e-07,1.1672281403304e-06,76.12961895748907,116.72281403304,1.5156977699612038,0.9989112282895999,,0.4158759071613944,1.558659593242807,1.5557795772321874,0.701648866704037,0.7485018946413058,39.72454854035222,0.7722872286249991
