age,DepthEqCCD,DepthOffEqCCD
0,4650,
250,4650,
500,4600,
750,4600,
1000,4600,
1250,4600,
1500,4600,
1750,4200,
2000,4500,
2250,4500,
2500,4700,
2750,4700,
3000,4600,
3250,4500,
3500,4500,
3750,4100,
4000,4400,
4250,4400,
4500,4500,
4750,4500,
5000,4500,
5250,4500,
5500,4500,
5750,4300,
6000,4550,
6250,4600,
6500,4550,
6750,4550,
7000,4500,
7250,4500,
7500,4500,
7750,4500,
8000,4500,
8250,4550,
8500,4350,
8750,4500,
9000,4550,
9250,4350,
9500,4450,
9750,4350,
10000,4500,
10250,4600,
10500,4800,
10750,4800,
11000,4850,
11250,4850,
11500,4850,
11750,4900,
12000,4800,
12250,4800,
12500,4800,
12750,4800,
13000,4750,
13250,4750,
13500,4750,
13750,4750,
14000,4750,
14250,4750,
14500,4750,
14750,4700,
15000,4700,
15250,4700,
15500,4650,
15750,4600,
16000,4300,
16250,4250,
16500,4300,
16750,4250,
17000,4250,
17250,4250,
17500,4150,
17750,4200,
18000,4250,
18250,4700,
18500,4700,
18750,4700,
19000,4700,
19250,4700,
19500,4700,
19750,4700,
20000,4700,
20250,4700,
20500,4700,
20750,4700,
21000,4700,
21250,4700,
21500,4700,
21750,4700,
22000,4700,
22250,4700,
22500,4700,
22750,4700,
23000,4700,
23250,4650,
23500,4650,
23750,4650,
24000,4650,
24250,4650,
24500,4650,
24750,4650,
25000,4650,
25250,4650,
25500,4650,
25750,4650,
26000,4650,
26250,4600,
26500,4600,
26750,4600,
27000,4600,
27250,4600,
27500,4600,
27750,4600,
28000,4600,
28250,4600,
28500,4600,
28750,4600,
29000,4600,
29250,4600,
29500,4600,
29750,4600,
30000,4600,
30250,4600,
30500,4600,
30750,4600,
31000,4600,
31250,4600,
31500,4550,
31750,4500,
32000,4500,
32250,4500,
32500,4500,
32750,4500,
33000,4500,
33250,4500,
33500,4500,
33750,4300,
34000,4000,
34250,3900,
34500,3500,
34750,3650,
35000,3900,
35250,4050,
35500,3400,
35750,3850,
36000,3900,
36250,3900,
36500,3850,
36750,3800,
37000,3800,
37250,3600,
37500,3800,
37750,3800,
38000,3550,
38250,3700,
38500,4100,
38750,4100,
39000,4100,
39250,4100,
39500,3600,
39750,3450,
40000,3250,
40250,3350,
40500,4050,
40750,4150,
41000,4050,
41250,4050,
41500,4000,
41750,3950,
42000,3950,
42250,3650,
42500,3750,
42750,3650,
43000,3500,
43250,3900,
43500,3900,
43750,3900,
44000,3900,
44250,3400,
44500,3400,
44750,3350,
45000,3350,
45250,3300,
45500,3400,
45750,3350,
46000,3300,
46250,3250,
46500,3400,
46750,3400,
47000,3200,
47250,3100,
47500,3100,
47750,3100,
48000,3100,
48250,3100,
48500,3100,
48750,3100,
49000,3000,
49250,3000,
49500,3000,
49750,3000,
50000,3000,
50250,3000,
50500,2950,
50750,2950,
51000,2950,
51250,3000,
51500,3000,3000
51750,3000,3500
52000,2800,3500
52250,2800,3300
52500,NaN,3500
52750,NaN,3500
53000,NaN,3100
53250,NaN,3500
53500,NaN,3500
53750,NaN,3500
54000,NaN,3500
54250,NaN,3500
54500,NaN,3500
54750,NaN,3500
55000,NaN,3000
55250,NaN,3250
55500,NaN,3250
55750,NaN,3250
56000,NaN,
56250,NaN,
56500,NaN,
56750,NaN,
57000,NaN,
57250,NaN,
57500,NaN,
57750,NaN,
58000,NaN,
58250,NaN,
58500,NaN,
58750,NaN,
59000,NaN,
59250,NaN,
59500,NaN,
59750,NaN,
60000,NaN,
