Site,Sample depth,Age,Mg/Ca,Mg/Ca adj,Species,Paleodepth,Reference
ODP0926,0.35,0.009,1.52,1.7,Oridorsalis umbonatus,3598,LearRosenthalWright03
ODP0926,0.35,0.009,1.41,1.98,Cibicidoides wuellerstorfi,3598,LearRosenthalWright03
ODP0806,0.41,0.018,1.34,1.39,Oridorsalis umbonatus,2521,LearRosenthalWright03
ODP0806,0.41,0.018,1.16,1.45,Cibicidoides wuellerstorfi,2521,LearRosenthalWright03
ODP0926,1.16,0.03,1.48,1.66,Oridorsalis umbonatus,3598,LearRosenthalWright03
ODP0926,1.16,0.03,1.09,1.53,Cibicidoides wuellerstorfi,3598,LearRosenthalWright03
ODP1088,0.34,0.04,,,Cibicidoides wuellerstorfi,2082,BillupsScheiderich10
ODP0806,1.14,0.049,1.21,1.25,Oridorsalis umbonatus,2522,LearRosenthalWright03
ODP0806,1.14,0.049,1.18,1.47,Cibicidoides wuellerstorfi,2522,LearRosenthalWright03
ODP0926,1.91,0.05,1.09,1.53,Cibicidoides wuellerstorfi,3599,LearRosenthalWright03
ODP0757,0.4,0.06,2,2.52,Cibicidoides wuellerstorfi,1649,BillupsSchrag03
ODP0757,0.4,0.06,2.42,3.1,Cibicidoides wuellerstorfi,1649,BillupsSchrag03
ODP0757,0.4,0.06,1.87,2.33,Cibicidoides wuellerstorfi,1649,BillupsSchrag03
ODP0757,0.4,0.06,2,2.22,Cibicidoides mundulus,1649,BillupsSchrag03
ODP0747,,0.075,1.17,1.36,Cibicidoides wuellerstorfi,1695,BillupsSchrag02
ODP1088,1.09,0.08,,,Cibicidoides wuellerstorfi,2082,BillupsScheiderich10
ODP0806,1.88,0.081,0.99,1.2,Cibicidoides wuellerstorfi,2522,LearRosenthalWright03
ODP0806,1.88,0.081,1.18,1.23,Oridorsalis umbonatus,2522,LearRosenthalWright03
ODP0926,3.41,0.089,0.95,1.34,Cibicidoides wuellerstorfi,3599,LearRosenthalWright03
ODP0806,2.68,0.116,1.66,1.71,Oridorsalis umbonatus,2523,LearRosenthalWright03
ODP0806,2.68,0.116,1.07,1.31,Cibicidoides wuellerstorfi,2523,LearRosenthalWright03
ODP0747,,0.122,1.5,1.82,Cibicidoides wuellerstorfi,1695,BillupsSchrag02
ODP0806,3.32,0.143,1.06,1.3,Cibicidoides wuellerstorfi,2523,LearRosenthalWright03
ODP0806,3.32,0.143,1.44,1.48,Oridorsalis umbonatus,2523,LearRosenthalWright03
DSDP607,6.8,0.154,1.1,1.51,Cibicidoides wuellerstorfi,3426,SosdianRosenthal09
DSDP607,6.8,0.155,1.04,1.42,Cibicidoides wuellerstorfi,3426,SosdianRosenthal09
DSDP607,6.9,0.157,1.29,1.77,Cibicidoides wuellerstorfi,3426,SosdianRosenthal09
DSDP607,7.1,0.162,1.11,1.52,Cibicidoides wuellerstorfi,3426,SosdianRosenthal09
ODP1088,1.84,0.166,1.72,2.17,Cibicidoides wuellerstorfi,2083,BillupsScheiderich10
DSDP607,7.4,0.171,1.08,1.48,Cibicidoides wuellerstorfi,3426,SosdianRosenthal09
DSDP607,7.4,0.174,1.05,1.44,Cibicidoides wuellerstorfi,3426,SosdianRosenthal09
DSDP607,7.6,0.179,1.16,1.59,Cibicidoides wuellerstorfi,3425,SosdianRosenthal09
DSDP607,7.8,0.183,1.27,1.75,Cibicidoides wuellerstorfi,3425,SosdianRosenthal09
DSDP607,7.9,0.188,1.44,1.98,Cibicidoides wuellerstorfi,3425,SosdianRosenthal09
DSDP607,8,0.191,1.48,2.04,Cibicidoides wuellerstorfi,3425,SosdianRosenthal09
ODP0926,7.4,0.192,1.01,1.42,Cibicidoides wuellerstorfi,3601,LearRosenthalWright03
ODP0926,7.4,0.192,1.14,1.32,Oridorsalis umbonatus,3601,LearRosenthalWright03
DSDP607,8.1,0.194,1.37,1.89,Cibicidoides wuellerstorfi,3425,SosdianRosenthal09
DSDP607,8.2,0.197,1.2,1.65,Cibicidoides wuellerstorfi,3425,SosdianRosenthal09
ODP0747,,0.197,1.48,1.79,Cibicidoides wuellerstorfi,1695,BillupsSchrag02
DSDP607,8.3,0.2,1.48,2.04,Cibicidoides wuellerstorfi,3425,SosdianRosenthal09
DSDP607,8.4,0.206,1.31,1.8,Cibicidoides wuellerstorfi,3425,SosdianRosenthal09
ODP0806,4.82,0.208,1.05,1.28,Cibicidoides wuellerstorfi,2524,LearRosenthalWright03
ODP0806,4.82,0.208,1.26,1.31,Oridorsalis umbonatus,2524,LearRosenthalWright03
DSDP607,8.6,0.211,1.25,1.72,Cibicidoides wuellerstorfi,3425,SosdianRosenthal09
DSDP573,1.9,0.225,0.86,1.25,Cibicidoides mundulus,4297,LearElderfieldOthers00
