EXPEDITION,SITE,HOLE,CORE,CORE_TYPE,SECTION,CC,TOP_DEPTH,BOTTOM_DEPTH,VOLUME,MBSF_TOP,MCD_TOP,HALF,ANALYST,LOCATION,REQUEST,REQUEST_PART,TYPE,SAMPLE_DATE,SAMPLE,IGSN,REMARKS,SUBSAMPLES
81,552,A,1,H,1,no,0,4,20,0,0,W,VT,BCR,076293IODP,A,---,12/3/2019 12:00:00 AM,5198251,IBCR0081RXVZE34,,0
81,552,A,1,H,1,no,9,11,10,0.09,0.09,W,DP,ECR,16369,A,----,11/25/1998 12:00:00 AM,3173450,,0-8 cm depleted,0
81,552,A,1,H,1,no,9,11,20,0.09,0.09,W,HK,ECR,16647,A,----,4/9/1999 12:00:00 AM,3173511,,,0
81,552,A,1,H,1,no,13,15,20,0.13,0.13,W,NB,BCR,067015IODP,A,---,12/4/2018 12:00:00 AM,5103190,IBCR0081RXAND14,,0
81,552,A,1,H,1,no,21,23,10,0.21,0.21,W,DF,BCR,037251IODP,A,---,11/7/2016 12:00:00 AM,5018223,IBCR0081RX33KZ3,,0
81,552,A,1,H,1,no,39,41,20,0.39,0.39,W,NB,BCR,067015IODP,A,---,12/5/2018 12:00:00 AM,5103193,IBCR0081RXDND14,,0
81,552,A,1,H,1,no,60,62,20,0.6,0.6,W,HK,ECR,16647,A,----,4/9/1999 12:00:00 AM,3173512,,,0
81,552,A,1,H,1,no,60,62,10,0.6,0.6,W,DP,ECR,16369,A,----,11/25/1998 12:00:00 AM,3173451,,,0
81,552,A,1,H,2,no,59,62,20,2.09,2.09,W,AW,BCR,22841,A,---,4/5/2013 12:00:00 AM,4850441,,,0
81,552,A,1,H,3,no,93,95,20,3.93,3.93,W,NR,BCR,051006IODP,A,---,6/19/2017 12:00:00 AM,5043888,IBCR0081RX0W304,,0
81,552,A,2,H,2,no,4,6,10,5.54,5.54,W,GAR,ECR,17796,A,----,11/9/2001 12:00:00 AM,3173524,,,0
81,552,A,2,H,2,no,8,10,10,5.58,5.58,W,GAR,ECR,17796,A,----,11/9/2001 12:00:00 AM,3173525,,,0
81,552,A,2,H,2,no,12,14,10,5.62,5.62,W,GAR,ECR,17796,A,----,11/9/2001 12:00:00 AM,3173526,,,0
81,552,A,2,H,2,no,16,18,10,5.66,5.66,W,GAR,ECR,17796,A,----,11/9/2001 12:00:00 AM,3173527,,,0
81,552,A,2,H,2,no,20,22,10,5.7,5.7,W,GAR,ECR,17796,A,----,11/9/2001 12:00:00 AM,3173528,,,0
81,552,A,2,H,2,no,24,26,10,5.74,5.74,W,GAR,ECR,17796,A,----,11/9/2001 12:00:00 AM,3173529,,,0
81,552,A,2,H,2,no,28,30,10,5.78,5.78,W,GAR,ECR,17796,A,----,11/9/2001 12:00:00 AM,3173530,,,0
81,552,A,2,H,2,no,32,34,10,5.82,5.82,W,GAR,ECR,17796,A,----,11/9/2001 12:00:00 AM,3173531,,,0
81,552,A,2,H,2,no,36,38,10,5.86,5.86,W,GAR,ECR,17796,A,----,11/9/2001 12:00:00 AM,3173532,,,0
81,552,A,2,H,2,no,40,42,10,5.9,5.9,W,GAR,ECR,17796,A,----,11/9/2001 12:00:00 AM,3173533,,,0
81,552,A,2,H,2,no,44,46,10,5.94,5.94,W,GAR,ECR,17796,A,----,11/9/2001 12:00:00 AM,3173534,,,0
81,552,A,2,H,2,no,48,50,10,5.98,5.98,W,GAR,ECR,17796,A,----,11/9/2001 12:00:00 AM,3173535,,,0
