core,ocean_basin,Depth (mbsf),Age (Ma),Mg/Ca,Species
689,Southern,145.49,36.716,1.57,Cibicidoides spp.
689,Southern,145.54,36.73,1.476,Cibicidoides spp.
689,Southern,147.01,37.033,1.636,Cibicidoides spp.
689,Southern,151.4,37.947,2.479,Cibicidoides spp.
689,Southern,154.4,38.586,1.66,Cibicidoides spp.
689,Southern,157.41,39.272,1.466,Cibicidoides spp.
689,Southern,158.28,39.471,1.755,Cibicidoides spp.
689,Southern,159.62,39.776,1.874,Cibicidoides spp.
689,Southern,164.11,41.924,1.569,Cibicidoides spp.
689,Southern,165.61,42.55,1.537,Cibicidoides spp.
689,Southern,169.32,43.386,1.636,Cibicidoides spp.
689,Southern,170.78,43.715,1.744,Cibicidoides spp.
689,Southern,178.92,45.384,1.696,Cibicidoides spp.
689,Southern,180.42,45.69,1.735,Cibicidoides spp.
689,Southern,181.92,45.996,1.647,Cibicidoides spp.
689,Southern,191.61,47.203,2.048,Cibicidoides spp.
689,Southern,204.27,53.888,1.924,Cibicidoides spp.
689,Southern,211.02,54.853,1.772,Cibicidoides spp.
689,Southern,145.49,36.716,1.942,Oridorsalis umbonatus
689,Southern,145.54,36.73,1.827,Oridorsalis umbonatus
689,Southern,147.01,37.033,1.617,Oridorsalis umbonatus
689,Southern,149.09,37.466,2.513,Oridorsalis umbonatus
689,Southern,157.41,39.272,2.059,Oridorsalis umbonatus
689,Southern,162.62,41.367,2.233,Oridorsalis umbonatus
689,Southern,164.11,41.924,2.175,Oridorsalis umbonatus
689,Southern,165.61,42.55,2.42,Oridorsalis umbonatus
689,Southern,169.32,43.386,2.568,Oridorsalis umbonatus
689,Southern,170.78,43.715,2.499,Oridorsalis umbonatus
689,Southern,173.82,44.342,2.72,Oridorsalis umbonatus
689,Southern,175.32,44.649,2.313,Oridorsalis umbonatus
689,Southern,176.82,44.955,2.326,Oridorsalis umbonatus
689,Southern,178.92,45.384,2.41,Oridorsalis umbonatus
689,Southern,179.27,45.455,2.718,Oridorsalis umbonatus
689,Southern,180.42,45.69,2.584,Oridorsalis umbonatus
689,Southern,181.92,45.996,2.391,Oridorsalis umbonatus
689,Southern,190.47,47.075,2.691,Oridorsalis umbonatus
689,Southern,191.61,47.203,2.552,Oridorsalis umbonatus
689,Southern,200.17,48.232,3.242,Oridorsalis umbonatus
689,Southern,201.28,48.39,3.396,Oridorsalis umbonatus
689,Southern,201.28,48.39,3.112,Oridorsalis umbonatus
689,Southern,202.78,48.605,2.904,Oridorsalis umbonatus
689,Southern,204.27,53.888,3.02,Oridorsalis umbonatus
689,Southern,211.02,54.853,2.897,Oridorsalis umbonatus
573,Pacific,,0.43,0.693,Cibicidoides wuellerstorfi
573,Pacific,,0.43,0.86,Cibicidoides mundulus
573,Pacific,,1.5,0.799,Cibicidoides wuellerstorfi
573,Pacific,,2.08,1.176,Cibicidoides mundulus
573,Pacific,,4.75,0.844,Cibicidoides wuellerstorfi
573,Pacific,,6.1,0.9,Cibicidoides wuellerstorfi
573,Pacific,,9.94,1.346,Cibicidoides mundulus
573,Pacific,,11.11,1.105,Cibicidoides mundulus
573,Pacific,,12.14,1.47,Cibicidoides mundulus
573,Pacific,,12.3,1.562,Cibicidoides wuellerstorfi
573,Pacific,,13.3,1.398,Cibicidoides mundulus
573,Pacific,,14.18,1.41,Cibicidoides mundulus
573,Pacific,,14.18,1.695,Cibicidoides wuellerstorfi
573,Pacific,,19.79,1.814,Cibicidoides mundulus
573,Pacific,,22.33,1.719,Cibicidoides mundulus
573,Pacific,,24.49,1.676,Cibicidoides mundulus
573,Pacific,,24.49,1.795,Oridorsalis umbonatus
573,Pacific,,24.78,1.948,Oridorsalis umbonatus
