Sample ID,Depth (m),Age (Ma),O. umbonatus Mg/Ca,O. umbonatus Mg/Ca_adj,O. umbonatus B/Ca,C. mundulus d18O,C. mundulus d13C,interpolated d18O,interpolated d18O-BWT,C. wuellerstorfi Mg/Ca [mmol/mol],C. mundulus Mg/Ca [mmol/mol],BWT (O. umbonatus Mg-temp),BWT (C. wuellerstorfi Mg-temp),BWT (C. mundulus Mg-temp)
806B 44-2 82-87,409.52,11.58,1.96,1.96,31.8,2.34,0.83,,,,,,,
806B 45-5 81-86,423.71,11.984,2.02,2.02,30.9,2.35,0.86,,,,,,,
806B 46-2 82-87,428.82,12.132,1.94,1.94,31.8,2.33,0.91,,,,,,,
806B 46-5 82-87,433.32,12.263,2.03,2.03,31.9,2.36,1.06,,,,,,,
806B 47-2 70-75,438.3,12.41,2.04,2.04,31.5,2.36,0.82,,,,,,,
806B 47-5 38-43,442.48,12.534,1.89,1.89,29.8,1.37,0.99,,,,,,,
806B 48-2 64-69,447.94,12.697,1.99,1.99,31,2.28,0.87,,,,,,,
806B 48-5 60-65,452.4,12.831,1.76,1.76,33.1,2.16,0.94,,,,,,,
806B 49-2 68-73,457.68,12.991,1.92,1.92,29,2.21,1.13,,,,,,,
806B 49-5 63-68,462.13,13.126,2.01,2.01,32,1.94,1.24,,,,,,,
806B 50-2 70-75,465.8,13.239,2.17,2.17,31.3,1.71,1.1,,,,,,,
806B 51-2 68-73,475.48,13.539,2,2,178.7,2.08,1.74,,,,,,,
806B 52-2 88-93,484.98,13.836,1.79,1.79,28.5,2.3,0.88,,,,,,,
806B 52-5 77-82,489.37,13.975,2.05,2.05,31.3,1.38,1.56,,,,,,,
806B 53-2 71-76,494.51,14.138,1.89,1.89,29.4,1.27,1.67,,,,,,,
806B 53-4 80-85,497.6,14.236,2,2,30.4,1.31,1.66,,,,,,,
806B 54-2 71-76,504.11,14.445,1.83,1.83,28,1.38,1.52,,,,,,,
806B 54-5 66-68,508.56,14.588,1.91,1.91,29.1,1.55,1.39,,,,,,,
806B 55-2 80-85,513.9,14.76,2.09,2.09,31.3,1.33,1.39,,,,,,,
806B 55-5 80-85,518.4,14.906,2.13,2.13,31.3,1,1.12,,,,,,,
806B 56-2 87-92,523.67,15.078,2.19,2.19,28.7,1.07,1.34,,,,,,,
806B 57-2 70-75,533.1,15.386,2.34,2.34,29.6,1.53,1.65,,,,,,,
806B 58-2 70-75,542.7,15.701,2.09,2.09,26.5,1.55,1.73,,,,,,,
806B 58-5 75-80,547.25,15.851,2.06,2.06,28,1.18,1.4,,,,,,,
806B 59-2 70-75,552.4,16.02,2.01,2.01,28,,,,,,,,,
806B 59-5 80-85,557,16.172,2.16,2.16,34.7,,,,,,,,,
806B 60-2 80-85,562.2,16.343,1.71,1.71,33.5,,,,,,,,,
806B 60-5 36-41,566.26,16.477,1.81,1.81,31.7,,,,,,,,,
806B 61-2 70-75,571.8,16.66,1.91,1.91,32.3,1.33,0.69,,,,,,,
806B 63-2 70-75,591.2,17.296,2.24,2.24,29.2,1.26,0.29,,,,,,,
806B 63-5 78-83,595.78,17.446,1.95,1.95,31.7,1.72,0.74,,,,,,,
690B 15-4 40-44,133.01,52.767,3.07,2.79,,,,-0.73,13.7,,,,,
690B 15-4 74-76,133.34,52.787,3.33,3.02,,,,-1.2,15.9,,,,,
690B 15-CC,137.8,53.044,3.26,2.96,,,,-0.33,11.8,,,,,
690B 16-3 41-43,141.21,53.24,2.68,2.43,,,,-0.09,10.8,,,,,
690B 16-4 41-43,142.72,53.328,2.86,2.6,,,,-0.54,12.8,,,,,
690B 16-5 41-43,144.21,53.414,2.7,2.46,,,,-0.19,11.2,,,,,
690B 17-1 40-42,147.91,53.627,2.71,2.46,,,,-0.2,11.3,,,,,
690B 18-3 40-42,160.61,54.359,2.89,2.63,,,,-0.28,11.6,,,,,
690B 18-CC,166.65,54.708,2.77,2.52,,,,0.28,9.1,,,,,
690B 19-1 40-42,167.31,54.746,2.79,2.53,,,,-0.27,11.6,,,,,
690B 23-1 34-36,191.55,56.188,2.58,2.35,,,,0.07,10.1,,,,,
690B 25-1 40-42,204.61,57.098,2.67,2.43,,,,0.31,9,,,,,
"130-806B-1H-1,41-45",0.41,0.017696,,,,,,,,1.165,,,2.7107,
"130-806B-1H-1,41-45",0.41,0.017696,1.3399,1.3399,,,,,,,,2.4966,,
"130-806B-1H-1,114-116",1.14,0.049205,,,,,,,,1.1824,,,2.8462,
"130-806B-1H-1,114-116",1.14,0.049205,1.2052,1.2052,,,,,,,,1.5673,,
"130-806B-1H-2,38-42",1.88,0.081145,1.1768,1.1768,,,,,,,,1.3584,,
"130-806B-1H-2,38-42",1.88,0.081145,,,,,,,,0.98792,,,1.1979,
"130-806B-1H-2,118-122",2.68,0.11567,,,,,,,,1.0669,,,1.9036,
"130-806B-1H-2,118-122",2.68,0.11567,1.6607,1.6607,,,,,,,,4.3798,,
"130-806B-1H-3,32-36",3.32,0.1433,1.4354,1.4354,,,,,,,,3.1006,,
"130-806B-1H-3,32-36",3.32,0.1433,,,,,,,,1.0564,,,1.8125,
"130-806B-1H-4,32-36",4.82,0.20804,1.2613,1.2613,,,,,,,,1.9664,,
"130-806B-1H-4,32-36",4.82,0.20804,,,,,,,,1.0468,,,1.7288,
"130-806B-1H-4,122-126",5.72,0.24689,,,,,,,,1.0794,,,2.0107,
"130-806B-1H-4,122-126",5.72,0.24689,1.2681,1.2681,,,,,,,,2.0133,,
"130-806B-1H-5,20-24",6.2,0.2676,1.3349,1.3349,,,,,,,,2.4639,,
"130-806B-1H-5,20-24",6.2,0.2676,,,,,,,,1.0616,,,1.8582,
"130-806B-2H-1,50-54",7,0.30213,,,,,,,,1.2757,,,3.5436,
"130-806B-2H-1,50-54",7,0.30213,1.422,1.422,,,,,,,,3.0183,,
"130-806B-2H-3,114-118",10.64,0.45924,1.347,1.347,,,,,,,,2.5433,,
"130-806B-2H-3,114-118",10.64,0.45924,,,,,,,,1.193,,,2.9286,
"130-806B-2H-6,40-44",14.4,0.62153,1.4855,1.4855,,,,,,,,3.4018,,
"130-806B-2H-6,40-44",14.4,0.62153,,,,,,,,1.1627,,,2.6922,
"130-806B-3H-1,115-119",17.15,0.74023,1.3398,1.3398,,,,,,,,2.4961,,
"130-806B-3H-1,115-119",17.15,0.74023,,,,,,,,1.2405,,,3.2865,
"130-806B-3H-3,43-45",19.43,0.83864,,,,,,,,1.2431,,,3.3054,
"130-806B-3H-3,43-45",19.43,0.83864,1.525,1.525,,,,,,,,3.6316,,
"130-806B-3H-4,113-117",21.63,0.93359,1.5485,1.5485,,,,,,,,3.7658,,
"130-806B-3H-4,113-117",21.63,0.93359,,,,,,,,1.2534,,,3.3817,
"130-806B-3H-6,37-41",23.87,1.0303,1.4183,1.4183,,,,,,,,2.9953,,
"130-806B-3H-6,37-41",23.87,1.0303,,,,,,,,1.231,,,3.216,
"130-806B-4H-1,43-47",25.93,1.1192,1.3676,1.3676,,,,,,,,2.6761,,
"130-806B-4H-1,43-47",25.93,1.1192,,,,,,,,1.2358,,,3.2516,
"130-806B-4H-2,119-123",28.19,1.2167,1.3319,1.3319,,,,,,,,2.4444,,
"130-806B-4H-2,119-123",28.19,1.2167,,,,,,,,1.2298,,,3.2071,
"130-806B-4H-4,123-127",31.23,1.3479,1.4912,1.4912,,,,,,,,3.4354,,
"130-806B-4H-4,123-127",31.23,1.3479,,,,,,,,1.1554,,,2.6344,
"130-806B-4H-6,37-41",33.37,1.4403,1.5276,1.5276,,,,,,,,3.6467,,
"130-806B-4H-6,37-41",33.37,1.4403,,,,,,,,1.2599,,,3.4289,
"130-806B-5H-1,67-71",35.67,1.5396,1.4935,1.4935,,,,,,,,3.4485,,
