age_Ma,temp_c,err,,
0.265,0.745776615,4.10,,
1.182,-0.027286673,4.21,,
1.691,2.048932591,2.35,,
1.999,0.487359936,4.27,,
2.223,3.370868013,3.28,,
2.299,1.786813346,3.29,,
2.496,2.839811506,3.34,,
7.792423828,6.072914493,4.93,,
15.316,10.27873788,4.98,,
15.946,7.006622602,5.54,,
17.312,7.732665079,3.45,,
22.06810547,9.395621577,4.04,,
24.36598047,7.786544045,3.32,,
26.12505078,9.422369503,3.88,,
27.93936914,9.214226407,2.88,,
29.93029883,8.855750987,3.42,,
33.52979688,7.176130621,4.42,,
33.74833203,6.038009449,3.29,,
35.4816875,12.01509517,2.41,,
35.64232422,5.526168493,3.74,,
36.37575781,13.19055397,2.96,,
37.89003906,12.29248383,2.97,,
39.97622266,13.48669693,3.51,,
40.61252344,13.48669693,4.80,,
45.35574609,14.08174988,4.14,,
46.20882422,12.32451782,2.91,,
50.02925,20.56217289,4.41,,
51.22586328,15.5857488,4.95,,
51.38426563,18.97948989,4.41,,
51.84681641,19.92601842,3.87,,
52.37666406,11.72348543,4.18,,
53.07097656,10.42906244,3.90,,
53.81501953,14.08174988,5.36,,
53.95007813,13.15887878,2.35,,
54.28296094,15.55327216,2.50,,
57.08246094,19.92601842,4.41,,
57.17326953,18.35354212,4.92,,
57.94610938,14.68052424,5.84,,
60.06176172,16.19399836,4.80,,
60.56825,10.85399468,2.87,,
62.05532813,11.43276845,5.65,,
12.27057853,7.998954071,1.73,,
13.83838004,10.01094875,1.71,,
15.78031508,11.1293047,1.45,,
43.354875,12.30464315,1.80,,
43.41814553,11.57263214,2.34,,
43.45405065,11.1089004,2.50,,
51.11161462,19.79907803,3.02,,
54,15.88939358,1.5,,
54.06,12.89532701,2.2,,
,,,,
