EXPEDITION,SITE,HOLE,CORE,CORE_TYPE,SECTION,CC,TOP_DEPTH,BOTTOM_DEPTH,VOLUME,MBSF_TOP,MCD_TOP,HALF,ANALYST,LOCATION,REQUEST,REQUEST_PART,TYPE,SAMPLE_DATE,SAMPLE,IGSN,REMARKS,SUBSAMPLES
208,1262,C,1,H,1,no,64,70,50,90.64,98.42,W,CUR,SHI,18425,A,----,3/29/2003 12:00:00 AM,4141430,,,0
208,1262,C,1,H,2,no,44,50,50,91.94,99.72,W,CUR,SHI,18425,A,----,3/29/2003 12:00:00 AM,4141431,,,0
208,1262,C,1,H,3,no,31,37,50,92.75,100.53,W,CUR,SHI,18425,A,----,3/29/2003 12:00:00 AM,4141432,,,0
208,1262,C,1,H,4,no,127,133,50,94.97,102.75,W,CUR,SHI,18425,A,----,3/29/2003 12:00:00 AM,4141433,,,0
208,1262,C,1,H,5,yes,0,10,353,95.06,102.84,WR,CHRISTOPHE,SHI,MSP9999,A,PAL,3/28/2003 12:00:00 AM,4141007,,all to pal,0
208,1262,C,2,H,1,no,36,42,50,99.86,109.65,W,CUR,SHI,18425,A,----,3/29/2003 12:00:00 AM,4141434,,,0
208,1262,C,2,H,2,no,2,4,7,101.02,110.81,W,JB,BCR,18404,B,----,8/5/2003 12:00:00 AM,4151555,,1153,0
208,1262,C,2,H,2,no,52,54,7,101.52,111.31,W,JB,BCR,18404,B,----,8/5/2003 12:00:00 AM,4151556,,1154,0
208,1262,C,2,H,2,no,73,79,50,101.73,111.52,W,CUR,SHI,18425,A,----,3/29/2003 12:00:00 AM,4141435,,,0
208,1262,C,2,H,2,no,102,104,7,102.02,111.81,W,JB,BCR,18404,B,----,8/5/2003 12:00:00 AM,4151557,,1155,0
208,1262,C,2,H,3,no,2,4,7,102.52,112.31,W,JB,BCR,18404,B,----,8/5/2003 12:00:00 AM,4151558,,1156,0
208,1262,C,2,H,3,no,52,54,7,103.02,112.81,W,JB,BCR,18404,B,----,8/5/2003 12:00:00 AM,4151559,,1157,0
208,1262,C,2,H,3,no,72,74,7,103.22,113.01,W,JB,BCR,18404,B,----,8/5/2003 12:00:00 AM,4151560,,1158,0
208,1262,C,2,H,3,no,82,84,7,103.32,113.11,W,JB,BCR,18404,B,----,8/5/2003 12:00:00 AM,4151561,,1159,0
208,1262,C,2,H,3,no,92,94,7,103.42,113.21,W,JB,BCR,18404,B,----,8/5/2003 12:00:00 AM,4151562,,1160,0
208,1262,C,2,H,3,no,102,104,7,103.52,113.31,W,JB,BCR,18404,B,----,8/5/2003 12:00:00 AM,4151563,,1161,0
208,1262,C,2,H,3,no,113,119,50,103.63,113.42,W,CUR,SHI,18425,A,----,3/29/2003 12:00:00 AM,4141436,,,0
208,1262,C,2,H,3,no,122,124,7,103.72,113.51,W,JB,BCR,18404,B,----,8/5/2003 12:00:00 AM,4151564,,1162,0
208,1262,C,2,H,3,no,132,134,7,103.82,113.61,W,JB,BCR,18404,B,----,8/5/2003 12:00:00 AM,4151565,,1163,0
208,1262,C,2,H,3,no,142,144,7,103.92,113.71,W,JB,BCR,18404,B,----,8/5/2003 12:00:00 AM,4151566,,1164,0
208,1262,C,2,H,4,no,2,4,7,104.02,113.81,W,JB,BCR,18404,B,----,8/5/2003 12:00:00 AM,4151567,,1165,0
208,1262,C,2,H,4,no,12,14,7,104.12,113.91,W,JB,BCR,18404,B,----,8/5/2003 12:00:00 AM,4151568,,1166,0
208,1262,C,2,H,4,no,22,24,7,104.22,114.01,W,JB,BCR,18404,B,----,8/5/2003 12:00:00 AM,4151569,,1167,0
208,1262,C,2,H,4,no,32,34,7,104.32,114.11,W,JB,BCR,18404,B,----,8/5/2003 12:00:00 AM,4151570,,1168,0
208,1262,C,2,H,4,no,42,44,7,104.42,114.21,W,JB,BCR,18404,B,----,8/5/2003 12:00:00 AM,4151571,,1169,0
