age_Ma,depth_mcd,LSR
1,5.22,5.22
2,10.49,5.27
3,15.79,5.3
4,22.21,6.42
5,29.13,6.92
6,31.01,1.88
7,32.5,1.49
8,33.3,0.8
9,34.02,0.72
10,34.73,0.71
11,35.44,0.71
12,36.15,0.71
13,36.87,0.71
14,37.58,0.71
15,38.29,0.71
16,39,0.71
17,39.71,0.71
18,40.41,0.7
19,41.11,0.7
20,41.81,0.7
21,42.5,0.69
22,43.19,0.69
23,43.87,0.68
24,44.55,0.68
25,45.23,0.68
26,46,0.77
27,47.5,1.5
28,49.86,2.36
29,54.45,4.59
30,60.39,5.94
31,69,8.61
32,78.7,9.7
33,86.84,8.14
34,104.1,17.26
35,109.35,5.25
36,113.26,3.92
37,122.88,9.62
38,132.84,9.96
39,137.63,4.78
40,140.31,2.68
41,146.05,5.75
42,153.87,7.82
43,165.07,11.2
44,176.29,11.21
45,186.16,9.87
46,196,9.84
47,205.77,9.77
48,215.54,9.77
49,226.59,11.05
50,235.57,8.98
51,247.43,11.85
52,268.26,20.84
53,286.3,18.04
54,320,33.7
55,339,19
56,353.7,14.7
57,380.98,27.28
58,398.16,17.18
