species,Size (um),region,core,water_depth_m,d11B (permil),Uncert (2s.d. external),B_Ca_umolmol,Al/Ca B/Ca (umol/mol) 5% 2s.d. uncert,pH foram,Uncert pH (2s.d. external),salinity,temp_c,pKB Pcor,pH tot sw,d11B sw BOH4- (permil),T dep d11B sw BOH4- (permil),KK '77 d11B sw BOH4- (permil),DCO3_c,Notes
Ammonia beccarii,>250,Namibia,GeoB12807-1,300,14.56,0.23,64.4,13.2,7.758,0.045,34.91,11,8.751,8.014,16.24,15.25,22.84,86.4,
Gyroidina soldanii,355-300,Canaries,GeoB8610-1,376,15.9,1.05,41.8,13.4,7.933,0.144,35.84,13.3,8.714,8.073,17.09,16.29,23.45,121.2,
Gyroidina soldanii,>425,Canaries,GeoB4223-2,775,14.33,0.45,,,7.707,0.097,35.4,9.3,8.746,7.972,15.96,14.83,22.63,72,
Gyroidina soldanii,>425,Canaries,GeoB6011-1,999,14.38,0.69,35.9,8.2,7.723,0.147,35.34,7.9,8.752,7.976,15.94,14.72,22.62,66.5,
Gyroidina soldanii,>250,Namibia,GeoB12801-1,1025,14.04,0.28,31.5,28.5,7.71,0.067,34.46,3.2,8.815,7.881,14.89,13.27,21.86,27.7,
Gyroidina soldanii,>250,Namibia,GeoB12811-2,2981,15.1,0.28,56.7,10.8,7.82,0.045,34.86,2.4,8.717,7.939,15.93,14.32,22.61,23.8,
Hoeglundina elegans,>425,Canaries,GeoB8611-3,490,14.31,0.21,70.3,17.4,7.684,0.045,35.64,11.9,8.727,8.035,16.64,15.72,23.12,101.8,
Hoeglundina elegans,>425,Canaries,GeoB4223-2,775,13.53,0.25,,,7.504,0.079,35.4,9.3,8.746,7.972,15.96,14.83,22.63,72,
Hoeglundina elegans,>425,Canaries,GeoB6011-2,999,14.26,0.25,44.4,22.8,7.697,0.055,35.34,7.9,8.752,7.976,15.94,14.72,22.62,66.5,
Hoeglundina elegans,425-355,Canaries,GeoB8610-2,376,14.11,0.27,61.4,11.3,7.627,0.063,35.84,13.3,8.714,8.073,17.09,16.29,23.45,121.2,
Hoeglundina elegans,>250,Walvis East,GeoB1206,940,11.97,0.22,45.3,12.9,NA,NA,34.41,3.5,8.816,7.893,14.95,13.35,21.9,31.1,
Hoeglundina elegans,>250,Walvis East,GeoB1207-2,2598,12.77,0.69,45.4,13.5,7.155,NA,34.86,2.6,8.736,7.949,15.85,14.25,22.55,29.5,
