age_Ma,loess_d13C,loess_d18O,loess_long_d13C,loess_long_d18O
0.000,-0.496,3.498,-0.60621887,4.6201019
0.002,-0.277,3.523,-0.60559893,4.6183863
0.004,-0.201,3.650,-0.60497904,4.6166787
0.006,-0.264,3.877,-0.60435915,4.6149797
0.008,-0.410,4.180,-0.60373908,4.6132889
0.010,-0.595,4.600,-0.60311878,4.6116071
0.012,-0.759,4.994,-0.60249817,4.6099334
0.014,-0.800,5.206,-0.60187709,4.6082687
0.016,-0.792,5.312,-0.60125542,4.6066127
0.018,-0.767,5.280,-0.60063314,4.6049647
0.020,-0.729,5.190,-0.6000101,4.6033258
0.022,-0.703,5.094,-0.59938616,4.6016955
0.024,-0.672,5.001,-0.59876126,4.6000738
0.026,-0.614,4.964,-0.59813535,4.5984612
0.028,-0.549,4.938,-0.59750825,4.5968571
0.030,-0.482,4.903,-0.59687984,4.5952621
0.032,-0.437,4.867,-0.59625012,4.5936756
0.034,-0.451,4.817,-0.59561884,4.5920982
0.036,-0.470,4.772,-0.59498608,4.5905294
0.038,-0.479,4.762,-0.59435159,4.5889697
0.040,-0.461,4.752,-0.59371531,4.587419
0.042,-0.432,4.747,-0.59307712,4.5858769
0.044,-0.393,4.736,-0.59243697,4.5843444
0.046,-0.359,4.725,-0.59179473,4.5828204
0.048,-0.321,4.719,-0.59115028,4.581306
0.050,-0.303,4.714,-0.59050357,4.5798001
0.052,-0.341,4.694,-0.58985442,4.5783038
0.054,-0.424,4.686,-0.58920276,4.5768166
0.056,-0.593,4.720,-0.58854854,4.5753384
0.058,-0.771,4.772,-0.58789158,4.5738692
0.060,-0.925,4.855,-0.58723181,4.5724096
0.062,-1.025,4.925,-0.58656913,4.5709591
0.064,-0.955,4.928,-0.58590347,4.5695181
0.066,-0.828,4.889,-0.58523464,4.5680861
0.068,-0.727,4.791,-0.5845626,4.5666637
0.070,-0.638,4.673,-0.58388722,4.5652504
0.072,-0.621,4.561,-0.58320844,4.5638466
0.074,-0.550,4.467,-0.58252615,4.5624523
0.076,-0.450,4.385,-0.58184016,4.5610676
0.078,-0.192,4.299,-0.58115047,4.5596924
0.080,0.030,4.231,-0.58045697,4.5583262
0.082,-0.043,4.195,-0.57975948,4.5569701
0.084,-0.211,4.202,-0.57905799,4.5556235
0.086,-0.444,4.305,-0.57835233,4.5542865
0.088,-0.639,4.417,-0.57764244,4.552959
0.090,-0.578,4.482,-0.57692814,4.551641
0.092,-0.435,4.517,-0.57620943,4.550333
0.094,-0.269,4.478,-0.57548618,4.5490346
0.096,-0.143,4.410,-0.57475823,4.5477457
0.098,-0.178,4.354,-0.57402557,4.5464668
0.100,-0.232,4.291,-0.57328796,4.545198
