,foram_database_idx,core,sample_id,sample_mix_id,s_id_species,agilent_id,run_name,run_order,time,sample_name,rank,sum_sq_resid
0,1720,522,552_34_3_15.5-20.0,552_34_3_15.5-20.0,552_34_3_15.5-20.0_Cibicidoides praemundulus,STG202112151634,Carbonates_TE_20smps_JB_20211215_2.b,7,15/12/2021 16:34,5,1,0.078697849
10,1721,522,552_37_3_24.0-29.0,552_37_3_24.0-29.0,552_37_3_24.0-29.0_Cibicidoides praemundulus,STG202112151617,Carbonates_TE_20smps_JB_20211215_2.b,4,15/12/2021 16:17,2,1,0.079994228
20,1722,522,552_34_1_111.0-116.0,552_34_1_111.0-116.0,552_34_1_111.0-116.0_Cibicidoides praemundulus,STG202112151824,Carbonates_TE_20smps_JB_20211215_2.b,27,15/12/2021 18:24,3,1,0.001844006
30,1723,522,552_34_2_14.0-18.0,552_34_2_14.0-18.0,552_34_2_14.0-18.0_Cibicidoides praemundulus,STG202112151628,Carbonates_TE_20smps_JB_20211215_2.b,6,15/12/2021 16:28,4,1,0.077618601
40,1724,522,552_35_2_28.0-32.0,552_35_2_28.0-32.0,552_35_2_28.0-32.0_Cibicidoides praemundulus,STG202112151718,Carbonates_TE_20smps_JB_20211215_2.b,15,15/12/2021 17:18,14,1,0.057862651
50,1725,522,552_34_2_32.0-37.0,552_34_2_32.0-37.0,552_34_2_32.0-37.0_Cibicidoides praemundulus,STG202112151829,Carbonates_TE_20smps_JB_20211215_2.b,28,15/12/2021 18:29,6,1,0.001863004
60,1726,522,552_38_1_26.0-31.0,552_38_1_26.0-31.0,552_38_1_26.0-31.0_Cibicidoides praemundulus,STG202112151656,Carbonates_TE_20smps_JB_20211215_2.b,11,15/12/2021 16:56,7,1,0.076602713
70,1727,522,552_37_2_135.0-138.5,552_37_2_135.0-138.5,552_37_2_135.0-138.5_Cibicidoides praemundulus,STG202112151712,Carbonates_TE_20smps_JB_20211215_2.b,14,15/12/2021 17:12,11,2,0.200353571
80,1728,522,552_35_1_47.0-49.5,552_35_1_47.0-49.5,552_35_1_47.0-49.5_Cibicidoides praemundulus,STG202112151840,Carbonates_TE_20smps_JB_20211215_2.b,30,15/12/2021 18:40,9,1,0.001350964
90,1729,522,552_35_2_15.5-19.5,552_35_2_15.5-19.5,552_35_2_15.5-19.5_Cibicidoides praemundulus,STG202112151846,Carbonates_TE_20smps_JB_20211215_2.b,31,15/12/2021 18:46,10,1,0.001776475
100,1730,522,552_36_1_77.0-80.0,552_36_1_77.0-80.0,552_36_1_77.0-80.0_Cibicidoides praemundulus,STG202112151701,Carbonates_TE_20smps_JB_20211215_2.b,12,15/12/2021 17:01,8,1,0.034401318
110,1731,522,552_34_2_117.5-122.5,552_34_2_117.5-122.5,552_34_2_117.5-122.5_Cibicidoides praemundulus,STG202112151908,Carbonates_TE_20smps_JB_20211215_2.b,35,15/12/2021 19:08,12,1,0.00214031
120,1732,522,552_34_3_65.5-70.5,552_34_3_65.5-70.5,552_34_3_65.5-70.5_Cibicidoides praemundulus,STG202112151913,Carbonates_TE_20smps_JB_20211215_2.b,36,15/12/2021 19:13,13,1,0.001274504
130,1733,522,552_34_3_33.0-38.0,552_34_3_33.0-38.0,552_34_3_33.0-38.0_Cibicidoides praemundulus,STG202112151628,Carbonates_TE_20smps_JB_20211215_2.b,6,15/12/2021 16:28,4,2,0.135512547
140,1734,522,552_35_2_96.0-99.5,552_35_2_96.0-99.5,552_35_2_96.0-99.5_Cibicidoides praemundulus,STG202112151740,Carbonates_TE_20smps_JB_20211215_2.b,19,15/12/2021 17:40,15,1,0.070720994
150,1735,522,552_37_2_10.0-15.0,552_37_2_10.0-15.0,552_37_2_10.0-15.0_Cibicidoides praemundulus,STG202112151745,Carbonates_TE_20smps_JB_20211215_2.b,20,15/12/2021 17:45,16,1,0.071501053
160,1736,522,552_34_2_82.0-87.0,552_34_2_82.0-87.0,552_34_2_82.0-87.0_Cibicidoides praemundulus,STG202112151756,Carbonates_TE_20smps_JB_20211215_2.b,22,15/12/2021 17:56,17,2,0.067166962
170,1737,522,552_34_2_67.0-72.0,552_34_2_67.0-72.0,552_34_2_67.0-72.0_Cibicidoides praemundulus,STG202112151924,Carbonates_TE_20smps_JB_20211215_2.b,38,15/12/2021 19:24,18,1,0.001172142
180,1738,522,552_36_2_20.0-23.5,552_36_2_20.0-23.5,552_36_2_20.0-23.5_Cibicidoides praemundulus,STG202112151930,Carbonates_TE_20smps_JB_20211215_2.b,39,15/12/2021 19:30,19,1,0.001140209
190,1739,522,552_34_2_135.0-140.0,552_34_2_135.0-140.0,552_34_2_135.0-140.0_Cibicidoides praemundulus,STG202112151802,Carbonates_TE_20smps_JB_20211215_2.b,23,15/12/2021 18:02,20,1,0.072118827
200,1740,522,552_37_2_10.0-15.0,552_37_2_10.0-15.0,552_37_2_10.0-15.0_Oridorsalis umbonatus,STG202307171559,Carbonates_TE_19smps_JB_RG_20230717.b,25,17/07/2023 15:59,12,3,1.330707208
210,1741,522,552_35_2_15.5-19.5,552_35_2_15.5-19.5,552_35_2_15.5-19.5_Oridorsalis umbonatus,STG202307171531,Carbonates_TE_19smps_JB_RG_20230717.b,20,17/07/2023 15:31,7,4,1.920646035
220,1742,522,552_38_1_26.0-31.0,552_38_1_26.0-31.0,552_38_1_26.0-31.0_Oridorsalis umbonatus,STG202307171559,Carbonates_TE_19smps_JB_RG_20230717.b,25,17/07/2023 15:59,12,1,0.261466582
230,1743,522,552_35_2_28.0-32.0,552_35_2_28.0-32.0,552_35_2_28.0-32.0_Oridorsalis umbonatus,STG202307171531,Carbonates_TE_19smps_JB_RG_20230717.b,20,17/07/2023 15:31,7,5,18.99396674
240,1744,522,552_34_2_14.0-18.0,552_34_2_14.0-18.0,552_34_2_14.0-18.0_Oridorsalis umbonatus,STG202308071419,Carbonates_TE_22smps_JB_RG_20230807_2.b,11,07/08/2023 14:19,38,3,5.241877
250,1745,522,552_34_1_111.0-116.0,552_34_1_111.0-116.0,552_34_1_111.0-116.0_Oridorsalis umbonatus,STG202308071419,Carbonates_TE_22smps_JB_RG_20230807_2.b,11,07/08/2023 14:19,38,2,0.665376556
260,1746,522,552_34_2_32.0-37.0,552_34_2_32.0-37.0,552_34_2_32.0-37.0_Oridorsalis umbonatus,STG202308071419,Carbonates_TE_22smps_JB_RG_20230807_2.b,11,07/08/2023 14:19,38,2,1.150216825
270,1747,522,552_34_2_67.0-72.0,552_34_2_67.0-72.0,552_34_2_67.0-72.0_Oridorsalis umbonatus,STG202307171559,Carbonates_TE_19smps_JB_RG_20230717.b,25,17/07/2023 15:59,12,2,1.09998239
280,1748,522,552_35_1_13.0-17.0,552_35_1_13.0-17.0,552_35_1_13.0-17.0_Oridorsalis umbonatus,STG202112151628,Carbonates_TE_20smps_JB_20211215_2.b,6,15/12/2021 16:28,4,4,1.309921928
290,1749,522,552_36_1_77.0-80.0,552_36_1_77.0-80.0,552_36_1_77.0-80.0_Oridorsalis umbonatus,STG202307171559,Carbonates_TE_19smps_JB_RG_20230717.b,25,17/07/2023 15:59,12,3,0.920990045
300,1750,522,552_37_2_135.0-138.5,552_37_2_135.0-138.5,552_37_2_135.0-138.5_Oridorsalis umbonatus,STG202308071419,Carbonates_TE_22smps_JB_RG_20230807_2.b,11,07/08/2023 14:19,38,3,2.293583843
310,1751,522,552_34_3_33.0-38.0,552_34_3_33.0-38.0,552_34_3_33.0-38.0_Oridorsalis umbonatus,STG202307171626,Carbonates_TE_19smps_JB_RG_20230717.b,30,17/07/2023 16:26,16,1,0.38462511
320,1752,522,552_34_2_117.5-122.5,552_34_2_117.5-122.5,552_34_2_117.5-122.5_Oridorsalis umbonatus,STG202308071419,Carbonates_TE_22smps_JB_RG_20230807_2.b,11,07/08/2023 14:19,38,2,0.545635323
330,1753,522,552_35_1_47.0-49.5,552_35_1_47.0-49.5,552_35_1_47.0-49.5_Oridorsalis umbonatus,STG202307171559,Carbonates_TE_19smps_JB_RG_20230717.b,25,17/07/2023 15:59,12,3,1.157410077
340,1754,522,552_35_1_91.0-94.0,552_35_1_91.0-94.0,552_35_1_91.0-94.0_Oridorsalis umbonatus,STG202308071419,Carbonates_TE_22smps_JB_RG_20230807_2.b,11,07/08/2023 14:19,38,1,0.087434781
350,1755,522,552_34_2_82.0-87.0,552_34_2_82.0-87.0,552_34_2_82.0-87.0_Oridorsalis umbonatus,STG202307171531,Carbonates_TE_19smps_JB_RG_20230717.b,20,17/07/2023 15:31,7,5,27.07428963
360,1756,522,552_35_1_125.0-129.0,552_35_1_125.0-129.0,552_35_1_125.0-129.0_Oridorsalis umbonatus,STG202308071419,Carbonates_TE_22smps_JB_RG_20230807_2.b,11,07/08/2023 14:19,38,3,1.65060309
370,1757,522,552_34_3_15.5-20.0,552_34_3_15.5-20.0,552_34_3_15.5-20.0_Oridorsalis umbonatus,STG202112151718,Carbonates_TE_20smps_JB_20211215_2.b,15,15/12/2021 17:18,14,3,0.576595322
380,1758,522,552_34_2_135.0-140.0,552_34_2_135.0-140.0,552_34_2_135.0-140.0_Oridorsalis umbonatus,STG202308071419,Carbonates_TE_22smps_JB_RG_20230807_2.b,11,07/08/2023 14:19,38,2,0.679891693
390,1759,522,552_35_2_69.0-72.5,552_35_2_69.0-72.5,552_35_2_69.0-72.5_Oridorsalis umbonatus,STG202307171632,Carbonates_TE_19smps_JB_RG_20230717.b,31,17/07/2023 16:32,20,3,10.38088446
400,1760,522,552_34_1_65.5-69.5,552_34_1_65.5-69.5,552_34_1_65.5-69.5_Oridorsalis umbonatus,STG202202181558,Carbonates_TE_20smps_JB_20211215_2.b,45,18/02/2022 15:58,1,1,0.006198868
410,1761,522,552_34_1_125.0-130.0,552_34_1_125.0-130.0,552_34_1_125.0-130.0_Oridorsalis umbonatus,STG202202181603,Carbonates_TE_20smps_JB_20211215_2.b,46,18/02/2022 16:03,2,1,0.007453943
420,1762,522,552_34_3_33.0-38.0,552_34_3_33.0-38.0,552_34_3_33.0-38.0_Cibicidoides havanensis,STG202202181614,Carbonates_TE_20smps_JB_20211215_2.b,48,18/02/2022 16:14,4,1,0.000938265
430,1763,522,552_35_1_47.0-49.5,552_35_1_47.0-49.5,552_35_1_47.0-49.5_Cibicidoides havanensis,STG202202181620,Carbonates_TE_20smps_JB_20211215_2.b,49,18/02/2022 16:20,5,1,0.00118473
440,1764,522,552_35_2_28.0-32.0,552_35_2_28.0-32.0,552_35_2_28.0-32.0_Cibicidoides havanensis,STG202202181642,Carbonates_TE_20smps_JB_20211215_2.b,53,18/02/2022 16:42,6,1,0.003327354
450,1765,522,552_35_1_135.0-139.0,552_35_1_135.0-139.0,552_35_1_135.0-139.0_Cibicidoides havanensis,STG202202181647,Carbonates_TE_20smps_JB_20211215_2.b,54,18/02/2022 16:47,7,1,0.058650737
460,1766,522,552_35_2_96.0-99.5,552_35_2_96.0-99.5,552_35_2_96.0-99.5_Cibicidoides havanensis,STG202202181658,Carbonates_TE_20smps_JB_20211215_2.b,56,18/02/2022 16:58,8,1,0.003871022
470,1767,522,552_36_2_20.0-23.0,552_36_2_20.0-23.0,552_36_2_20.0-23.0_Cibicidoides havanensis,STG202202181704,Carbonates_TE_20smps_JB_20211215_2.b,57,18/02/2022 17:04,9,1,0.002097602
480,1768,522,552_34_3_82.0-87.0,552_34_3_82.0-87.0,552_34_3_82.0-87.0_Cibicidoides havanensis,STG202202181726,Carbonates_TE_20smps_JB_20211215_2.b,61,18/02/2022 17:26,10,1,0.066075474
490,1769,522,552_37_2_135.0-138.5,552_37_2_135.0-138.5,552_37_2_135.0-138.5_Cibicidoides havanensis,STG202202181731,Carbonates_TE_20smps_JB_20211215_2.b,62,18/02/2022 17:31,11,1,0.013763035
500,1770,522,552_38_1_26.0-31.0,552_38_1_26.0-31.0,552_38_1_26.0-31.0_Cibicidoides havanensis,STG202202181742,Carbonates_TE_20smps_JB_20211215_2.b,64,18/02/2022 17:42,12,1,0.003501521
510,1771,522,522_36_1_77-80,522_36_1_77-80,522_36_1_77-80_Cibicidoides havanensis,STG202307171436,Carbonates_TE_19smps_JB_RG_20230717.b,10,17/07/2023 14:36,1,1,0.309551384
520,1772,522,522_34_2_117.5-122.5,522_34_2_117.5-122.5,522_34_2_117.5-122.5_Cibicidoides havanensis,STG202307171531,Carbonates_TE_19smps_JB_RG_20230717.b,20,17/07/2023 15:31,7,5,21.04990606
