age_Ma,Atlantic,Pacific,Southern
0,0.335496928,-0.15302264,-0.801344229
0.1,0.33566265,-0.169040525,-0.795374553
0.2,0.336096622,-0.181923376,-0.815360135
0.3,0.334309821,-0.200470855,-0.832336182
0.4,0.334746755,-0.222064888,-0.837448961
0.5,0.334614989,-0.245715209,-0.837969607
0.6,0.330168403,-0.273104738,-0.834400617
0.7,0.326851806,-0.304783756,-0.831871253
0.8,0.323397405,-0.338312922,-0.835385465
0.9,0.325581681,-0.369517245,-0.834925327
1,0.331170392,-0.397777502,-0.825445346
1.1,0.339561508,-0.430347849,-0.813142663
1.2,0.351115974,-0.438856488,-0.794726319
1.3,0.360089122,-0.447235568,-0.776783611
1.4,0.371821278,-0.457647842,-0.752632948
1.5,0.378853685,-0.467672682,-0.726107531
1.6,0.380943225,-0.476453679,-0.694859548
1.7,0.379386742,-0.48389544,-0.629085961
1.8,0.372228783,-0.492216655,-0.596741632
1.9,0.365954873,-0.492703451,-0.538626877
2,0.351851307,-0.492585111,-0.48384591
2.1,0.32872173,-0.493339405,-0.436570461
2.2,0.304480271,-0.489772146,-0.384930431
2.3,0.28859988,-0.478931007,-0.324025905
2.4,0.26778078,-0.466270881,-0.266180026
2.5,0.250386373,-0.451921772,-0.208551053
2.6,0.251308861,-0.433456082,-0.146672715
2.7,0.260794281,-0.412460259,-0.095324096
2.8,0.271373333,-0.38780761,-0.043541435
2.9,0.280785736,-0.365561067,0.002006617
3,0.290300276,-0.340011866,0.035987233
3.1,0.30416605,-0.316698666,0.062135109
3.2,0.317790885,-0.296411555,0.080392509
3.3,0.328019156,-0.27741008,0.093628384
3.4,0.340269171,-0.256572285,0.098969061
3.5,0.360726374,-0.240373885,0.098940778
3.6,0.357939386,-0.236036333,0.092186541
3.7,0.362614765,-0.231916744,0.080046667
3.8,0.37363706,-0.241138046,0.060089785
3.9,0.380921622,-0.253083272,0.038433325
4,0.386117888,-0.277620793,0.023537978
4.1,0.395949441,-0.31368814,0.011678943
4.2,0.407702088,-0.352455105,0.003595224
4.3,0.410421824,-0.390165009,-0.001840411
4.4,0.397755471,-0.415181289,-0.004513296
4.5,0.370693798,-0.42876205,-0.006699555
4.6,0.361192115,-0.408706452,-0.008053886
4.7,0.348484101,-0.375290258,-0.006042304
4.8,0.335127415,-0.364647012,-0.00348087
4.9,0.321425589,-0.346873379,-0.002929448
5,0.304281639,-0.345685032,-0.001436127
5.1,0.297187143,-0.356364856,0.003525772
5.2,0.283730847,-0.371828929,0.006046667
5.3,0.275029353,-0.392154422,0.008164479
5.4,0.267989453,-0.418044563,0.032636304
5.5,0.273460993,-0.447808671,0.04940404
5.6,0.319177382,-0.471539257,0.071239895
5.7,0.297838586,-0.491259215,0.100891222
5.8,0.295215261,-0.504504181,0.126860581
5.9,0.282511173,-0.514935909,0.150130119
6,0.284859961,-0.529360782,0.179858118
6.1,0.287320057,-0.529778436,0.204404
6.2,0.278650989,-0.52509712,0.238268228
6.3,0.291117166,-0.506810803,0.26744859
6.4,0.294970332,-0.49354022,0.298945897
6.5,0.267442936,-0.474157538,0.337941053
6.6,0.233114054,-0.447403534,0.386444198
6.7,0.264597974,-0.412432181,0.444181566
