,core,sample_mix_id,sample_mix,sample_id,d13C,d18O,midpoint_depth_mbsf,midpoint_depth_mcd,depth_mcd,age_Ma,mix_age,species,source,TE_stnd,B11,B/Ca (error 1sd),Mg24,Mg/Ca (error 1sd),Al27,d11B,d11B_2SE,Li7,Na23,Mg25,Mn55,Sr88,Cd111,Ba138,Nd146,U238,weight_ug,num_of_specimens,B/Ca corrected,palaeo_depth_m,B11 corrected to C. mundulus,Depth-corrected B11,B11 corrected to STGFRM calibration standard,Notes,Mo92,K39,Fe56,Ni58,Cu63,Zn64,Rb85,P31,S32,Co59,Mg26,Depth-corrected B/Ca,rel_age_to_ETM2_kyr,lat,lon,ocean_basin,species_simple,B_omega_calibration,omega_linfit,omega_logfit,omega_linfit_0,omega_logfit_0,omega_linfit_3000,omega_logfit_3000,Ca_sw,Mg_sw,B11_for_omega,temp_c,pressure_bar,ksp_c,CO3
0,1262,1262_B_19_H_5_56_57_168.96,no,1262_B_19_H_5_56_57_168.96,1.520626666,0.312086261,168.965,185.05499,,60.91769327,60.91769327,Nuttallides truempyi,Barnet et al. (2019),,,,,,,,,,,,,,,,,,,,,3245.884663,,,,,,,,,,,,,,,,,,-27.186,1.577,Atlantic,Nuttallides truempyi,Nuttallides umbonifera,,,,,,,22.93449544,46.54472179,,12.61333367,325.8247245,8.3e-07,
1,1262,1262_B_19_H_5_68_69_169.08,no,1262_B_19_H_5_68_69_169.08,1.523240961,0.246952998,169.085,185.175,,60.92992624,60.92992624,Nuttallides truempyi,Barnet et al. (2019),,,,,,,,,,,,,,,,,,,,,3246.496312,,,,,,,,,,,,,,,,,,-27.186,1.577,Atlantic,Nuttallides truempyi,Nuttallides umbonifera,,,,,,,22.94060236,46.54610078,,12.59583403,325.8861223,8.3e-07,
2,1262,1262_B_19_H_5_71_72_169.11,no,1262_B_19_H_5_71_72_169.11,1.502676715,0.379664552,169.115,185.205,,60.93298448,60.93298448,Nuttallides truempyi,Barnet et al. (2019),,,,,,,,,,,,,,,,,,,,,3246.649224,,,,,,,,,,,,,,,,,,-27.186,1.577,Atlantic,Nuttallides truempyi,Nuttallides umbonifera,,,,,,,22.94212909,46.54644552,,12.59145912,325.9014718,8.3e-07,
3,1262,1262_B_19_H_5_77_78_169.17,no,1262_B_19_H_5_77_78_169.17,1.49992727,0.372510244,169.175,185.265,,60.93910097,60.93910097,Nuttallides truempyi,Barnet et al. (2019),,,,,,,,,,,,,,,,,,,,,3246.955048,,,,,,,,,,,,,,,,,,-27.186,1.577,Atlantic,Nuttallides truempyi,Nuttallides umbonifera,,,,,,,22.94518254,46.54713502,,12.58270931,325.9321707,8.3e-07,
4,1262,1262_B_19_H_5_80_81_169.2,no,1262_B_19_H_5_80_81_169.2,1.589785467,0.440725284,169.205,185.295,,60.94215921,60.94215921,Nuttallides truempyi,Barnet et al. (2019),,,,,,,,,,,,,,,,,,,,,3247.107961,,,,,,,,,,,,,,,,,,-27.186,1.577,Atlantic,Nuttallides truempyi,Nuttallides umbonifera,,,,,,,22.94670927,46.54747977,,12.5783344,325.9475201,8.3e-07,
5,1262,1262_B_19_H_5_83_84_169.23,no,1262_B_19_H_5_83_84_169.23,1.514992609,0.495744103,169.235,185.325,,60.94521745,60.94521745,Nuttallides truempyi,Barnet et al. (2019),,,,,,,,,,,,,,,,,,,,,3247.260873,,,,,,,,,,,,,,,,,,-27.186,1.577,Atlantic,Nuttallides truempyi,Nuttallides umbonifera,,,,,,,22.948236,46.54782451,,12.57395949,325.9628696,8.3e-07,
6,1262,1262_B_19_H_5_89_90_169.29,no,1262_B_19_H_5_89_90_169.29,1.406913225,0.384355872,169.295,185.38499,,60.95133394,60.95133394,Nuttallides truempyi,Barnet et al. (2019),,,,,,,,,,,,,,,,,,,,,3247.566697,,,,,,,,,,,,,,,,,,-27.186,1.577,Atlantic,Nuttallides truempyi,Nuttallides umbonifera,,,,,,,22.95128946,46.54851401,,12.56520967,325.9935685,8.31e-07,
7,1262,1262_B_19_H_5_92_93_169.32,no,1262_B_19_H_5_92_93_169.32,1.592954399,0.367235045,169.325,185.41499,,60.95439218,60.95439218,Nuttallides truempyi,Barnet et al. (2019),,,,,,,,,,,,,,,,,,,,,3247.719609,,,,,,,,,,,,,,,,,,-27.186,1.577,Atlantic,Nuttallides truempyi,Nuttallides umbonifera,,,,,,,22.95281619,46.54885876,,12.56083476,326.0089179,8.31e-07,
8,1262,1262_B_19_H_5_98_99_169.38,no,1262_B_19_H_5_98_99_169.38,1.519184541,0.438851419,169.385,185.47501,,60.9605765,60.9605765,Nuttallides truempyi,Barnet et al. (2019),,,,,,,,,,,,,,,,,,,,,3248.028825,,,,,,,,,,,,,,,,,,-27.186,1.577,Atlantic,Nuttallides truempyi,Nuttallides umbonifera,,,,,,,22.95590351,46.5495559,,12.55198791,326.0399573,8.31e-07,
9,1262,1262_C_10_H_2_110_111_170.6,no,1262_C_10_H_2_110_111_170.6,1.667540323,0.442377653,170.605,185.52499,,60.96635203,60.96635203,Nuttallides truempyi,Barnet et al. (2019),,,,,,,,,,,,,,,,,,,,,3248.317602,,,,,,,,,,,,,,,,,,-27.186,1.577,Atlantic,Nuttallides truempyi,Nuttallides umbonifera,,,,,,,22.95878676,46.55020696,,12.54372583,326.0689449,8.31e-07,
