,foram_database_idx,core,sample_id,sample_mix_id,s_id_species,agilent_id,run_name,run_order,time,sample_name,rank,sum_sq_resid
1420,,1262,1262_B_22_H_3_122_123_193.88,1262_2020_6,1262_2020_6_Nuttallides truempyi,STG202002031813,Carbonates_TE_16smps_JB_20200203_#2.b,12,2020-02-03 18:13:41,06,1,0.002335447688190804
1420,,1262,1262_B_22_H_3_122_123_193.88,1262_2020_6,1262_2020_6_Nuttallides truempyi,STG202002031824,Carbonates_TE_16smps_JB_20200203_#2.b,14,2020-02-03 18:24:41,07,2,0.014537026851613073
1420,,1262,1262_B_22_H_3_122_123_193.88,1262_2020_6,1262_2020_6_Nuttallides truempyi,STG202002031808,Carbonates_TE_16smps_JB_20200203_#2.b,11,2020-02-03 18:08:11,05,3,0.020821005991726593
1420,,1262,1262_B_22_H_3_122_123_193.88,1262_2020_6,1262_2020_6_Nuttallides truempyi,STG202002031740,Carbonates_TE_16smps_JB_20200203_#2.b,6,2020-02-03 17:40:39,03,4,0.03185799420638995
1420,,1262,1262_B_22_H_3_122_123_193.88,1262_2020_6,1262_2020_6_Nuttallides truempyi,STG202002031852,Carbonates_TE_16smps_JB_20200203_#2.b,19,2020-02-03 18:52:11,09,5,0.045073401964841456
1420,,1262,1262_B_22_H_3_122_123_193.88,1262_2020_6,1262_2020_6_Nuttallides truempyi,STG202002031830,Carbonates_TE_16smps_JB_20200203_#2.b,15,2020-02-03 18:30:10,08,6,0.05742167166178727
1420,,1262,1262_B_22_H_3_122_123_193.88,1262_2020_6,1262_2020_6_Nuttallides truempyi,STG202002031958,Carbonates_TE_16smps_JB_20200203_#2.b,31,2020-02-03 19:58:18,16,7,0.17345599664957373
1420,,1262,1262_B_22_H_3_122_123_193.88,1262_2020_6,1262_2020_6_Nuttallides truempyi,STG202002031914,Carbonates_TE_16smps_JB_20200203_#2.b,23,2020-02-03 19:14:13,12,8,0.2289848394449447
1420,,1262,1262_B_22_H_3_122_123_193.88,1262_2020_6,1262_2020_6_Nuttallides truempyi,STG202002031936,Carbonates_TE_16smps_JB_20200203_#2.b,27,2020-02-03 19:36:15,13,9,0.23305107120014384
1420,,1262,1262_B_22_H_3_122_123_193.88,1262_2020_6,1262_2020_6_Nuttallides truempyi,STG202002031908,Carbonates_TE_16smps_JB_20200203_#2.b,22,2020-02-03 19:08:42,11,10,0.3273320820713466
1425,,1262,1262_B_22_H_4_2_3_194.18,1262_2020_5,1262_2020_5_Nuttallides truempyi,STG202002031808,Carbonates_TE_16smps_JB_20200203_#2.b,11,2020-02-03 18:08:11,05,1,0.003357049630578021
1425,,1262,1262_B_22_H_4_2_3_194.18,1262_2020_5,1262_2020_5_Nuttallides truempyi,STG202002031830,Carbonates_TE_16smps_JB_20200203_#2.b,15,2020-02-03 18:30:10,08,2,0.006568351930888214
1425,,1262,1262_B_22_H_4_2_3_194.18,1262_2020_5,1262_2020_5_Nuttallides truempyi,STG202002031813,Carbonates_TE_16smps_JB_20200203_#2.b,12,2020-02-03 18:13:41,06,3,0.06969969899904006
1425,,1262,1262_B_22_H_4_2_3_194.18,1262_2020_5,1262_2020_5_Nuttallides truempyi,STG202002031824,Carbonates_TE_16smps_JB_20200203_#2.b,14,2020-02-03 18:24:41,07,4,0.089537199463437
1425,,1262,1262_B_22_H_4_2_3_194.18,1262_2020_5,1262_2020_5_Nuttallides truempyi,STG202002031852,Carbonates_TE_16smps_JB_20200203_#2.b,19,2020-02-03 18:52:11,09,5,0.12283455736207463
1425,,1262,1262_B_22_H_4_2_3_194.18,1262_2020_5,1262_2020_5_Nuttallides truempyi,STG202002031958,Carbonates_TE_16smps_JB_20200203_#2.b,31,2020-02-03 19:58:18,16,6,0.1271358612406326
1425,,1262,1262_B_22_H_4_2_3_194.18,1262_2020_5,1262_2020_5_Nuttallides truempyi,STG202002031936,Carbonates_TE_16smps_JB_20200203_#2.b,27,2020-02-03 19:36:15,13,7,0.1344429732104171
1425,,1262,1262_B_22_H_4_2_3_194.18,1262_2020_5,1262_2020_5_Nuttallides truempyi,STG202002031740,Carbonates_TE_16smps_JB_20200203_#2.b,6,2020-02-03 17:40:39,03,8,0.14109659305770897
1425,,1262,1262_B_22_H_4_2_3_194.18,1262_2020_5,1262_2020_5_Nuttallides truempyi,STG202002031914,Carbonates_TE_16smps_JB_20200203_#2.b,23,2020-02-03 19:14:13,12,9,0.14959291888359674
1425,,1262,1262_B_22_H_4_2_3_194.18,1262_2020_5,1262_2020_5_Nuttallides truempyi,STG202002031908,Carbonates_TE_16smps_JB_20200203_#2.b,22,2020-02-03 19:08:42,11,10,0.21609980837587972
1431,,1262,1262_C_13_H_1_88_89_194.38,1262_2020_4,1262_2020_4_Nuttallides truempyi,STG202002031746,Carbonates_TE_16smps_JB_20200203_#2.b,7,2020-02-03 17:46:10,04,1,0.000993049897484788
