,foram_database_idx,core,sample_id,sample_mix_id,s_id_species,agilent_id,run_name,run_order,time,sample_name,rank,sum_sq_resid
1799,,689B,689_B_16_H_3_40-42,689_B_16_H_3_40-42,689_B_16_H_3_40-42_Cibicidoides praemundulus,STG202306131610,Carbonates_TE_18smps_JB_JSE_20230613_2.b,14,2023-06-13 16:10:20,4,1,0.08420294052970105
1799,,689B,689_B_16_H_3_40-42,689_B_16_H_3_40-42,689_B_16_H_3_40-42_Cibicidoides praemundulus,STG202306131548,Carbonates_TE_18smps_JB_JSE_20230613_2.b,10,2023-06-13 15:48:13,1,2,0.09694817574023572
1799,,689B,689_B_16_H_3_40-42,689_B_16_H_3_40-42,689_B_16_H_3_40-42_Cibicidoides praemundulus,STG202306131643,Carbonates_TE_18smps_JB_JSE_20230613_2.b,20,2023-06-13 16:43:27,7,3,0.19433297728116497
1799,,689B,689_B_16_H_3_40-42,689_B_16_H_3_40-42,689_B_16_H_3_40-42_Cibicidoides praemundulus,STG202306221717,Carbonates_TE_20smps_JB_JSE_20230622.b,40,2023-06-22 17:17:33,37,4,0.2768446157689918
1799,,689B,689_B_16_H_3_40-42,689_B_16_H_3_40-42,689_B_16_H_3_40-42_Cibicidoides praemundulus,STG202306221436,Carbonates_TE_20smps_JB_JSE_20230622.b,11,2023-06-22 14:36:58,20,5,0.3415370931467759
1799,,689B,689_B_16_H_3_40-42,689_B_16_H_3_40-42,689_B_16_H_3_40-42_Cibicidoides praemundulus,STG202308111640,Carbonates_TE_19smps_JB_GW_20230811.b,39,2023-08-11 16:40:46,14a,6,0.3572544436253536
1799,,689B,689_B_16_H_3_40-42,689_B_16_H_3_40-42,689_B_16_H_3_40-42_Cibicidoides praemundulus,STG202306221431,Carbonates_TE_20smps_JB_JSE_20230622.b,10,2023-06-22 14:31:28,19,7,0.3683381845310174
1799,,689B,689_B_16_H_3_40-42,689_B_16_H_3_40-42,689_B_16_H_3_40-42_Cibicidoides praemundulus,STG202306131800,Carbonates_TE_18smps_JB_JSE_20230613_2.b,34,2023-06-13 18:00:54,16,8,0.40154454638362247
1799,,689B,689_B_16_H_3_40-42,689_B_16_H_3_40-42,689_B_16_H_3_40-42_Cibicidoides praemundulus,STG202306221655,Carbonates_TE_20smps_JB_JSE_20230622.b,36,2023-06-22 16:55:25,36,9,0.4373266945578002
1799,,689B,689_B_16_H_3_40-42,689_B_16_H_3_40-42,689_B_16_H_3_40-42_Cibicidoides praemundulus,STG202306131553,Carbonates_TE_18smps_JB_JSE_20230613_2.b,11,2023-06-13 15:53:44,2,10,0.4552354991475424
1800,,689B,689_B_15_H_4_40-43,689_B_15_H_4_40-43,689_B_15_H_4_40-43_Cibicidoides praemundulus,STG202306131559,Carbonates_TE_18smps_JB_JSE_20230613_2.b,12,2023-06-13 15:59:15,3,1,0.06249678778913256
1800,,689B,689_B_15_H_4_40-43,689_B_15_H_4_40-43,689_B_15_H_4_40-43_Cibicidoides praemundulus,STG202306131553,Carbonates_TE_18smps_JB_JSE_20230613_2.b,11,2023-06-13 15:53:44,2,2,0.13962797074886735
1800,,689B,689_B_15_H_4_40-43,689_B_15_H_4_40-43,689_B_15_H_4_40-43_Cibicidoides praemundulus,STG202306221459,Carbonates_TE_20smps_JB_JSE_20230622.b,15,2023-06-22 14:59:08,23,3,0.22144425507030474
1800,,689B,689_B_15_H_4_40-43,689_B_15_H_4_40-43,689_B_15_H_4_40-43_Cibicidoides praemundulus,STG202306221431,Carbonates_TE_20smps_JB_JSE_20230622.b,10,2023-06-22 14:31:28,19,4,0.31236987640436803
1800,,689B,689_B_15_H_4_40-43,689_B_15_H_4_40-43,689_B_15_H_4_40-43_Cibicidoides praemundulus,STG202306221554,Carbonates_TE_20smps_JB_JSE_20230622.b,25,2023-06-22 15:54:29,29,5,0.32420816335271446
1800,,689B,689_B_15_H_4_40-43,689_B_15_H_4_40-43,689_B_15_H_4_40-43_Cibicidoides praemundulus,STG202306221436,Carbonates_TE_20smps_JB_JSE_20230622.b,11,2023-06-22 14:36:58,20,6,0.3553753243559445
1800,,689B,689_B_15_H_4_40-43,689_B_15_H_4_40-43,689_B_15_H_4_40-43_Cibicidoides praemundulus,STG202308111517,Carbonates_TE_19smps_JB_GW_20230811.b,24,2023-08-11 15:17:57,14,7,0.525199717555389
1800,,689B,689_B_15_H_4_40-43,689_B_15_H_4_40-43,689_B_15_H_4_40-43_Cibicidoides praemundulus,STG202306131749,Carbonates_TE_18smps_JB_JSE_20230613_2.b,32,2023-06-13 17:49:49,15,8,0.6101186659830394
1800,,689B,689_B_15_H_4_40-43,689_B_15_H_4_40-43,689_B_15_H_4_40-43_Cibicidoides praemundulus,STG202306131716,Carbonates_TE_18smps_JB_JSE_20230613_2.b,26,2023-06-13 17:16:38,12,9,0.624054806959289
1800,,689B,689_B_15_H_4_40-43,689_B_15_H_4_40-43,689_B_15_H_4_40-43_Cibicidoides praemundulus,STG202308111640,Carbonates_TE_19smps_JB_GW_20230811.b,39,2023-08-11 16:40:46,14a,10,1.0202538804814014
1801,,689B,689_B_15_H_3_40-43,689_B_15_H_3_40-43,689_B_15_H_3_40-43_Cibicidoides praemundulus,STG202306221459,Carbonates_TE_20smps_JB_JSE_20230622.b,15,2023-06-22 14:59:08,23,1,0.09943912440425494
