,foram_database_idx,core,sample_id,sample_mix_id,s_id_species,agilent_id,run_name,run_order,time,sample_name,rank,sum_sq_resid
1993,,U1409,U1409_B_11_CC,U1409_B_11_CC,U1409_B_11_CC_Cibicidoides subspiratus,STG202308081425,Carbonates_TE_21smps_JB_GW_20230808.b,12,2023-08-08 14:25:39,3,1,0.36181941128657036
1993,,U1409,U1409_B_11_CC,U1409_B_11_CC,U1409_B_11_CC_Cibicidoides subspiratus,STG202308081626,Carbonates_TE_21smps_JB_GW_20230808.b,34,2023-08-08 16:26:59,18,2,0.4465983047635516
1993,,U1409,U1409_B_11_CC,U1409_B_11_CC,U1409_B_11_CC_Cibicidoides subspiratus,STG202308081531,Carbonates_TE_21smps_JB_GW_20230808.b,24,2023-08-08 15:31:47,11,3,0.4673390236550437
1993,,U1409,U1409_B_11_CC,U1409_B_11_CC,U1409_B_11_CC_Cibicidoides subspiratus,STG202308081414,Carbonates_TE_21smps_JB_GW_20230808.b,10,2023-08-08 14:14:38,1,4,0.5047804203065184
1993,,U1409,U1409_B_11_CC,U1409_B_11_CC,U1409_B_11_CC_Cibicidoides subspiratus,STG202308081604,Carbonates_TE_21smps_JB_GW_20230808.b,30,2023-08-08 16:04:55,15,5,0.5401915671529286
1993,,U1409,U1409_B_11_CC,U1409_B_11_CC,U1409_B_11_CC_Cibicidoides subspiratus,STG202308111517,Carbonates_TE_19smps_JB_GW_20230811.b,24,2023-08-11 15:17:57,14,6,0.5449681381570439
1993,,U1409,U1409_B_11_CC,U1409_B_11_CC,U1409_B_11_CC_Cibicidoides subspiratus,STG202308081509,Carbonates_TE_21smps_JB_GW_20230808.b,20,2023-08-08 15:09:45,7,7,0.6766580571245259
1993,,U1409,U1409_B_11_CC,U1409_B_11_CC,U1409_B_11_CC_Cibicidoides subspiratus,STG202308081610,Carbonates_TE_21smps_JB_GW_20230808.b,31,2023-08-08 16:10:26,16,8,0.6880031507475453
1993,,U1409,U1409_B_11_CC,U1409_B_11_CC,U1409_B_11_CC_Cibicidoides subspiratus,STG202308081700,Carbonates_TE_21smps_JB_GW_20230808.b,40,2023-08-08 17:00:05,21,9,0.7179937808667436
1993,,U1409,U1409_B_11_CC,U1409_B_11_CC,U1409_B_11_CC_Cibicidoides subspiratus,STG202308081420,Carbonates_TE_21smps_JB_GW_20230808.b,11,2023-08-08 14:20:08,2,10,0.7504479896981817
1994,,U1409,U1409_A_13_H_6_78-80,U1409_A_13_H_6_78-80,U1409_A_13_H_6_78-80_Cibicidoides subspiratus,STG202308081700,Carbonates_TE_21smps_JB_GW_20230808.b,40,2023-08-08 17:00:05,21,1,0.04932161567485235
1994,,U1409,U1409_A_13_H_6_78-80,U1409_A_13_H_6_78-80,U1409_A_13_H_6_78-80_Cibicidoides subspiratus,STG202308081626,Carbonates_TE_21smps_JB_GW_20230808.b,34,2023-08-08 16:26:59,18,2,0.08116366073400151
1994,,U1409,U1409_A_13_H_6_78-80,U1409_A_13_H_6_78-80,U1409_A_13_H_6_78-80_Cibicidoides subspiratus,STG202308081425,Carbonates_TE_21smps_JB_GW_20230808.b,12,2023-08-08 14:25:39,3,3,0.48484646309599644
1994,,U1409,U1409_A_13_H_6_78-80,U1409_A_13_H_6_78-80,U1409_A_13_H_6_78-80_Cibicidoides subspiratus,STG202308111613,Carbonates_TE_19smps_JB_GW_20230811.b,34,2023-08-11 16:13:11,20,4,0.5004020784866389
1994,,U1409,U1409_A_13_H_6_78-80,U1409_A_13_H_6_78-80,U1409_A_13_H_6_78-80_Cibicidoides subspiratus,STG202308111422,Carbonates_TE_19smps_JB_GW_20230811.b,14,2023-08-11 14:22:44,8,5,0.5748642427201888
1994,,U1409,U1409_A_13_H_6_78-80,U1409_A_13_H_6_78-80,U1409_A_13_H_6_78-80_Cibicidoides subspiratus,STG202308081537,Carbonates_TE_21smps_JB_GW_20230808.b,25,2023-08-08 15:37:19,12,6,0.5940888722326426
